code	uic	naam	middel_naam	korte_naam	rdt_url	type	geo_lat	geo_lng
drp	8400192	Dronrijp	Dronrijp	Dronrijp	dronrijp	stoptreinstation	53.177807	5.6347413
dt	8400170	Delft	Delft	Delft	delft	knooppuntintercitystation	52.006668	4.356389
dtc	8400177	Doetinchem	Doetinchem	Doetinchem	doetinchem	knooppuntstoptreinstation	51.958595	6.2962146
dtch	8400184	Doetinchem De Huet	De Huet	De Huet	doetinchem-de-huet	stoptreinstation	51.95914	6.259852
dtz	8400166	Delft Zuid	Delft Zuid	Delft Z	delft-zuid	stoptreinstation	51.990833	4.3647223
dv	8400173	Deventer	Deventer	Deventer	deventer	knooppuntintercitystation	52.2575	6.1605554
dvc	8400185	Deventer Colmschate	Colmschate	Colmschate	deventer-colmschate	stoptreinstation	52.25028	6.2144446
dvd	8400194	Duivendrecht	Duivendrecht	Duivendt	duivendrecht	knooppuntstoptreinstation	52.323334	4.936389
dvn	8400193	Duiven	Duiven	Duiven	duiven	stoptreinstation	51.943333	6.0147223
dvnk	8400188	De Vink	De Vink	De Vink	de-vink	stoptreinstation	52.14722	4.456389
dz	8400171	Delfzijl	Delfzijl	Delfzijl	delfzijl	stoptreinstation	53.333664	6.92408
dzw	8400175	Delfzijl West	Delfzijl West	Delfzijl W	delfzijl-west	stoptreinstation	53.332085	6.906909
ec	8400195	Echt	Echt	Echt	echt	stoptreinstation	51.100555	5.878889
ed	8400200	Ede-Wageningen	Ede-Wageningen	Ede-Wag	ede-wageningen	knooppuntintercitystation	52.02778	5.6730556
edc	8400201	Ede Centrum	Ede C.	Ede C	ede-centrum	stoptreinstation	52.04361	5.6683335
edn	8400219	Eijsden	Eijsden	Eijsden	eijsden	stoptreinstation	50.771946	5.71
egh	8400338	Eygelshoven	Eygelshoven	Eygelshov	eygelshoven	stoptreinstation	50.890556	6045
eghm	8400234	Eygelshoven Markt	Eygelshoven Mrkt	Eygelsh M	eygelshoven-markt	stoptreinstation	50.89605	6.0602474
ehb	8400196	Eindhoven Beukenlaan	Beukenlaan	Beukenlaan	eindhoven-beukenlaan	stoptreinstation	51.45111	5.4558334
ehv	8400206	Eindhoven	Eindhoven	Eindhoven	eindhoven	knooppuntintercitystation	51.443333	5.481389
ekz	8400210	Enkhuizen	Enkhuizen	Enkhuizen	enkhuizen	stoptreinstation	52.699165	5.286389
eml	8400216	Ermelo	Ermelo	Ermelo	ermelo	stoptreinstation	52.301666	5.6147223
emn	8400208	Emmen	Emmen	Emmen	emmen	sneltreinstation	52.79	6.8994446
emnz	8400407	Emmen Zuid	Emmen Zuid	Emmen Z	emmen-zuid	sneltreinstation	52.748867	6.8747807
es	8400212	Enschede	Enschede	Enschede	enschede	knooppuntintercitystation	52.2225	6.89
esd	8400221	Enschede Drienerlo	Drienerlo	Drienerlo	enschede-drienerlo	stoptreinstation	52.2375	6.838889
ese	8400217	Enschede De Eschmarke	De Eschmarke	Eschmarke	enschede-de-eschmarke	stoptreinstation	52.22139	6.9511113
est	8400207	Elst	Elst	Elst	elst	knooppuntstoptreinstation	51.916943	5855
etn	8400218	Etten-Leur	Etten-Leur	Etten-Leur	etten-leur	intercitystation	51575	4.6358333
fn	8400232	Franeker	Franeker	Franeker	franeker	stoptreinstation	53.18245	5.5483093
gbg	8400259	Gramsbergen	Gramsbergen	Gramsbergn	gramsbergen	stoptreinstation	52.609165	6.675833
gbr	8400262	Glanerbrug	Glanerbrug	Glanerbrug	glanerbrug	stoptreinstation	52.218613	6.9744444
gd	8400258	Gouda	Gouda	Gouda	gouda	knooppuntintercitystation	52.0175	4.7044444
gdg	8400257	Gouda Goverwelle	Goverwelle	Goverwelle	gouda-goverwelle	stoptreinstation	52015	4.7408333
gdk	8400239	Geerdijk	Geerdijk	Geerdijk	geerdijk	stoptreinstation	52.47625	6.56674
gdm	8400244	Geldermalsen	Geldermalsen	G'malsen	geldermalsen	knooppuntstoptreinstation	51.88278	5.271111
gdr	8400241	Gaanderen	Gaanderen	Gaanderen	gaanderen	stoptreinstation	51.93074	6.3486
gerp	8400238	Groningen Europapark	Europapark	Europapark	groningen-europapark	stoptreinstation	53.20489	6.58519
gk	8400267	Grijpskerk	Grijpskerk	Grijpskerk	grijpskerk	stoptreinstation	53.25574	6.3097787
gln	8400246	Geleen Oost	Geleen Oost	Geleen O	geleen-oost	stoptreinstation	50.966946	5.8430557
gn	8400263	Groningen	Groningen	Groningen	groningen	knooppuntintercitystation	53.210556	6.564722
gnd	8400295	Hardinxveld-Giessendam	Hardinxveld-G.	Hardinxvld	hardinxveld-giessendam	stoptreinstation	51.830555	4.8358335
gnn	8400264	Groningen Noord	Groningen Noord	Groning N	groningen-noord	stoptreinstation	53.23015	6.5563173
go	8400254	Goor	Goor	Goor	goor	stoptreinstation	52.230278	6.5844445
gp	8400245	Geldrop	Geldrop	Geldrop	geldrop	stoptreinstation	51.419724	5.5505557
gr	8400256	Gorinchem	Gorinchem	Gorinchem	gorinchem	knooppuntstoptreinstation	51.83389	4.9683332
gs	8400253	Goes	Goes	Goes	goes	stoptreinstation	51.498055	3.8905556
gv	8400280	Den Haag HS	Den Haag HS	Dn Haag HS	den-haag-hs	knooppuntintercitystation	52.06972	4.3225
gvc	8400282	Den Haag Centraal	Den Haag C.	Den Haag C	den-haag-centraal	megastation	52.080276	4325
gvm	8400278	Den Haag Mariahoeve	Mariahoeve	Mariahoeve	den-haag-mariahoeve	stoptreinstation	52.090557	4.3694444
gvmw	8400279	Den Haag Moerwijk	Moerwijk	Moerwijk	den-haag-moerwijk	stoptreinstation	52.05389	4.308611
gw	8400266	Grou-Jirnsum	Grou-Jirnsum	Grou-Jirns	grou-jirnsum	stoptreinstation	53.08889	5.8225
gz	8400251	Gilze-Rijen	Gilze-Rijen	Gilze-Rij	gilze-rijen	stoptreinstation	51.58361	4.926111
had	8400302	Heemstede-Aerdenhout	Heemstede-A.	Heemstede	heemstede-aerdenhout	intercitystation	52.359165	4.6066666
hb	8400326	Hoensbroek	Hoensbroek	Hoensbroek	hoensbroek	stoptreinstation	50.905556	5.9305553
hd	8400294	Harderwijk	Harderwijk	Harderwijk	harderwijk	knooppuntstoptreinstation	52.3375	5.6197224
hdb	8400293	Hardenberg	Hardenberg	Hardenberg	hardenberg	sneltreinstation	52.572777	6.628611
hde	8400388	't Harde	't Harde	't Harde	t-harde	stoptreinstation	52.40917	5.893611
hdg	8400292	Hurdegaryp	Hurdegaryp	Hurdegaryp	hurdegaryp	stoptreinstation	53.218777	5.934543
hdr	8400311	Den Helder	Den Helder	Den Helder	den-helder	intercitystation	52.955276	4.7611113
hdrz	8400303	Den Helder Zuid	Den Helder Zuid	Dn Heldr Z	den-helder-zuid	stoptreinstation	52.9325	4.764167
hfd	8400332	Hoofddorp	Hoofddorp	Hoofddorp	hoofddorp	stoptreinstation	52.293335	4.7005553
hgl	8400316	Hengelo	Hengelo	Hengelo	hengelo	knooppuntintercitystation	52.261665	6.793889
hglo	8400312	Hengelo Oost	Hengelo Oost	Hengelo O	hengelo-oost	stoptreinstation	52.26889	6.8194447
hgv	8400330	Hoogeveen	Hoogeveen	Hoogeveen	hoogeveen	stoptreinstation	52.73389	6.473611
hgz	8400331	Hoogezand-Sappemeer	Hoogezand-Sap.	Hoogezand	hoogezand-sappemeer	knooppuntstoptreinstation	53.159817	6.770754
hil	8400329	Hillegom	Hillegom	Hillegom	hillegom	stoptreinstation	52.3025	4.5655556
hk	8400317	Heemskerk	Heemskerk	Heemskerk	heemskerk	stoptreinstation	52.495277	4.6869445
hks	8400334	Hoogkarspel	Hoogkarspel	Hoogkrspl	hoogkarspel	stoptreinstation	52.690556	5.183889
hld	8400325	Hoek van Holland Haven	Hoek v H. Haven	HvH Haven	hoek-van-holland-haven	knooppuntstoptreinstation	51.975277	4.128889
hlds	8400342	Hoek van Holland Strand	Hoek v H. Strand	HvH Strand	hoek-van-holland-strand	stoptreinstation	51.981667	4.1197224
hlg	8400296	Harlingen	Harlingen	Harlingen	harlingen	stoptreinstation	53.17042	5.4251933
hlgh	8400298	Harlingen Haven	Harlingen Haven	Harl Haven	harlingen-haven	stoptreinstation	53.174915	5.4112887
hlm	8400285	Haarlem	Haarlem	Haarlem	haarlem	knooppuntintercitystation	52.38778	4.6383333
hlms	8400270	Haarlem Spaarnwoude	Spaarnwoude	Spaarnwde	haarlem-spaarnwoude	stoptreinstation	52.38278	4.6730556
